"","word","frequency_a","prop_in_answered","frequency_u","prop_in_unanswered","ratio"
"1","screen","476.68510","0.11333455","267.743736","0.0819289277"," 1.383328"
"2","turn","361.97001","0.08606039","199.385835","0.0610115775"," 1.410558"
"3","working","295.95002","0.07036377","198.086058","0.0606138489"," 1.160853"
"4","replacement","268.25083","0.06377813"," 94.025098","0.0287714498"," 2.216716"
"5","power","222.78194","0.05296765","158.750312","0.0485772068"," 1.090381"
"6","replace","193.50465","0.04600681"," 90.299148","0.0276313183"," 1.665024"
"7","work","186.16236","0.04426114","125.642780","0.0384463833"," 1.151243"
"8","charging","176.48492","0.04196028"," 84.942470","0.0259921880"," 1.614342"
"9","charge","169.07231","0.04019789"," 94.553816","0.0289332363"," 1.389333"
"10","button","166.30124","0.03953905"," 79.928502","0.0244579260"," 1.616615"
"11","black","164.73220","0.03916600"," 84.379557","0.0258199380"," 1.516890"
"12","touch","164.64318","0.03914484"," 73.699243","0.0225517880"," 1.735775"
"13","turning","139.36398","0.03313456"," 98.218398","0.0300545893"," 1.102479"
"14","broken","129.17975","0.03071321"," 66.497017","0.0203479244"," 1.509403"
"15","doesnt","123.23159","0.02929900"," 71.786529","0.0219665022"," 1.333804"
"16","stuck","117.10866","0.02784324"," 47.933588","0.0146675607"," 1.898287"
"17","start","116.98243","0.02781323"," 79.589930","0.0243543238"," 1.142024"
"18","new","116.29133","0.02764891"," 38.693381","0.0118400800"," 2.335196"
"19","lcd","114.85755","0.02730802"," 53.656050","0.0164186199"," 1.663235"
"20","macbook","110.32853","0.02623122"," 12.294524","0.0037620943"," 6.972506"
"21","upgrade","105.63332","0.02511491"," 13.396405","0.0040992673"," 6.126683"
"22","problem","104.92502","0.02494651"," 69.572625","0.0212890529"," 1.171800"
"23","change","103.11640","0.02451650"," 52.216697","0.0159781816"," 1.534374"
"24","port"," 98.49772","0.02341838"," 36.276602","0.0111005514"," 2.109659"
"25","card"," 95.58518","0.02272591"," 46.479019","0.0142224660"," 1.597888"
"26","replaced"," 95.47800","0.02270043"," 18.407963","0.0056327917"," 4.030049"
"27","open"," 93.65900","0.02226795"," 60.307377","0.0184539096"," 1.206679"
"28","boot"," 93.28156","0.02217821"," 46.768933","0.0143111790"," 1.549712"
"29","replacing"," 92.28757","0.02194189"," 25.458916","0.0077903659"," 2.816541"
"30","remove"," 91.40428","0.02173188"," 40.470751","0.0123839506"," 1.754842"
"31","reset"," 88.44684","0.02102873"," 45.211146","0.0138345001"," 1.520021"
"32","back"," 88.02222","0.02092777"," 63.896373","0.0195521336"," 1.070358"
"33","drive"," 86.79296","0.02063551"," 25.127220","0.0076888679"," 2.683817"
"34","error"," 84.65252","0.02012661"," 46.110328","0.0141096474"," 1.426443"
"35","cable"," 84.08560","0.01999182"," 40.424175","0.0123696987"," 1.616193"
"36","ssd"," 82.64446","0.01964918","  2.863960","0.0008763648","22.421236"
"37","hard"," 79.86801","0.01898907"," 27.985217","0.0085634079"," 2.217466"
"38","cracked"," 79.31111","0.01885666"," 25.549602","0.0078181157"," 2.411919"
"39","one"," 75.66699","0.01799025"," 37.854158","0.0115832795"," 1.553122"
